"Year","Month","Day","dailywtmp"
2012,2,15,9.34666666666667
2012,2,16,9.9475
2012,2,17,10.41125
2012,2,18,10.9483333333333
2012,2,19,11.5366666666667
2012,2,20,10.9104166666667
2012,2,21,10.28875
2012,2,22,10.95625
2012,2,23,12.0925
2012,2,24,13.1383333333333
2012,2,25,13.6358333333333
2012,2,26,12.0283333333333
2012,2,27,11.3808333333333
2012,2,28,12.0195833333333
2012,2,29,12.6116666666667
2012,3,1,13.3779166666667
2012,3,2,13.9616666666667
2012,3,3,13.8679166666667
2012,3,4,13.6379166666667
2012,3,5,12.5877118644068
2012,3,6,11.5941666666667
2012,3,7,11.3611814345992
2012,3,8,12.19
2012,3,9,13.3883333333333
2012,3,10,12.9595833333333
2012,3,11,12.6420833333333
2012,3,12,13.12875
2012,3,13,13.9079166666667
2012,3,14,14.72375
2012,3,15,15.7795833333333
2012,3,16,16.4979166666667
2012,3,17,16.6129166666667
2012,3,18,17.13375
2012,3,19,17.42375
2012,3,20,17.9241666666667
2012,3,21,18.29875
2012,3,22,18.5891666666667
2012,3,23,19.1604166666667
2012,3,24,19.34
2012,3,25,19.19875
2012,3,26,19.46
2012,3,27,18.20375
2012,3,28,17.2145833333333
2012,3,29,17.4429166666667
2012,3,30,17.95375
2012,3,31,18.4875
2012,4,1,18.0525
2012,4,2,17.9383333333333
2012,4,3,17.8970833333333
2012,4,4,18.2775
2012,4,5,18.8920833333333
2012,4,6,17.2475
2012,4,7,15.39375
2012,4,8,16.1129166666667
2012,4,9,17.0525
2012,4,10,17.5766666666667
2012,4,11,17.7645833333333
2012,4,12,16.9620833333333
2012,4,13,16.7460251046025
2012,4,14,17.2694560669456
2012,4,15,18.0341666666667
2012,4,16,18.80875
2012,4,17,19.4478991596639
2012,4,18,20.10125
2012,4,19,20.0266666666667
2012,4,20,19.6279166666667
2012,4,21,20.0566666666667
2012,4,22,20.3695833333333
2012,4,23,19.2754166666667
2012,4,24,17.8641666666667
2012,4,25,17.2316666666667
2012,4,26,17.8104166666667
2012,4,27,18.9529166666667
2012,4,28,19.72875
2012,4,29,20.1475
2012,4,30,19.9275
2012,5,1,20.6741666666667
2012,5,2,21.37125
2012,5,3,21.8808333333333
2012,5,4,22.1129166666667
2012,5,5,22.3816666666667
2012,5,6,22.7283333333333
2012,5,7,22.3858333333333
2012,5,8,22.41625
2012,5,9,22.8404166666667
2012,5,10,23.1606694560669
2012,5,11,22.5904166666667
2012,5,12,22.6116666666667
2012,5,13,22.6004166666667
2012,5,14,22.225
2012,5,15,22.505
2012,5,16,23.2075
2012,5,17,23.1058333333333
2012,5,18,22.83125
2012,5,19,21.4516666666667
2012,5,20,21.1408333333333
2012,5,21,21.25625
2012,5,22,22.0583333333333
2012,5,23,23.1325
2012,5,24,23.9083333333333
2012,5,25,25.1333333333333
2012,5,26,25.2129166666667
2012,5,27,25.4891213389121
2012,5,28,25.9466666666667
2012,5,29,26.41875
2012,5,30,26.1670833333333
2012,5,31,25.0703389830508
2012,6,1,25.5479166666667
2012,6,2,25.6961373390558
2012,6,3,25.4020833333333
2012,6,4,24.85375
2012,6,5,24.1854166666667
2012,6,6,22.9504166666667
2012,6,7,22.4575
2012,6,8,23.3320833333333
2012,6,9,24.27125
2012,6,10,24.97875
2012,6,11,25.2966666666667
2012,6,12,24.8320833333333
2012,6,13,24.8470833333333
2012,6,14,24.9804166666667
2012,6,15,23.8952380952381
2012,6,16,23.4671361502347
2012,6,17,23.4178082191781
2012,6,18,23.8253164556962
2012,6,19,24.5804166666667
2012,6,20,25.2181818181818
2012,6,21,26.1116751269036
2012,6,22,26.28625
2012,6,23,26.1243697478992
2012,6,24,26.4391666666667
2012,6,25,27.1379166666667
2012,6,26,26.5204166666667
2012,6,27,25.4804166666667
2012,6,28,25.6625
2012,6,29,25.9854166666667
2012,6,30,26.7375
2012,7,1,27.4941666666667
2012,7,2,26.8279166666667
2012,7,3,27.2247899159664
2012,7,4,27.7486607142857
2012,7,5,28.0654166666667
2012,7,6,28.3858333333333
2012,7,7,28.6683333333333
2012,7,8,28.7266666666667
2012,7,9,28.5275
2012,7,10,28.65375
2012,7,11,28.58
2012,7,12,28.3645833333333
2012,7,13,28.6316666666667
2012,7,14,28.8354166666667
2012,7,15,29.2125
2012,7,16,29.155
2012,7,17,29.05
2012,7,18,28.8325
2012,7,19,28.4420833333333
2012,7,20,28.2179166666667
2012,7,21,27.8783333333333
2012,7,22,28.0970833333333
2012,7,23,28.5258333333333
2012,7,24,28.65875
2012,7,25,28.5154166666667
2012,7,26,28.3104166666667
2012,7,27,28.82875
2012,7,28,29.0625
2012,7,29,28.82625
2012,7,30,28.6979166666667
2012,7,31,28.2791666666667
2012,8,1,28.0870833333333
2012,8,2,27.7683333333333
2012,8,3,28.5116666666667
2012,8,4,29.17625
2012,8,5,29.6422594142259
2012,8,6,29.7239495798319
2012,8,7,29.4795833333333
2012,8,8,28.9170833333333
2012,8,9,28.4429166666667
2012,8,10,28.5025
2012,8,11,27.8916666666667
2012,8,12,27.1383333333333
2012,8,13,27.3729166666667
2012,8,14,28.0945833333333
2012,8,15,28.1384615384615
2012,8,16,28.3577981651376
2012,8,17,28.4541666666667
2012,8,18,28.615
2012,8,19,28.5158333333333
2012,8,20,28.1754166666667
2012,8,21,28.0816666666667
2012,8,22,27.5779166666667
2012,8,23,27.6154166666667
2012,8,24,27.0566666666667
2012,8,25,26.3845833333333
2012,8,26,26.9216666666667
2012,8,27,27.4309623430962
2012,8,28,27.6327731092437
2012,8,29,26.8991666666667
2012,8,30,27.1304166666667
2012,8,31,27.3495833333333
2012,9,1,27.7641666666667
2012,9,2,28.46125
2012,9,3,28.33125
2012,9,4,27.955
2012,9,5,28.01375
2012,9,6,28.1283333333333
2012,9,7,28.145
2012,9,8,28.35875
2012,9,9,27.9966666666667
2012,9,10,26.5204166666667
2012,9,11,25.51375
2012,9,12,24.93625
2012,9,13,24.6370833333333
2012,9,14,25.1054166666667
2012,9,15,25.7604166666667
2012,9,16,25.81625
2012,9,17,25.6433333333333
2012,9,18,25.5895833333333
2012,9,19,25.6041666666667
2012,9,20,24.4652719665272
2012,9,21,24.2179166666667
2012,9,22,24.6066666666667
2012,9,23,24.7995833333333
2012,9,24,24.0858333333333
2012,9,25,23.0870833333333
2012,9,26,23.2275
2012,9,27,23.8345833333333
2012,9,28,24.5558333333333
2012,9,29,24.8183333333333
2012,9,30,24.4591666666667
2012,10,1,24.4745833333333
2012,10,2,24.6425
2012,10,3,24.8266666666667
2012,10,4,25.57125
2012,10,5,25.7704166666667
2012,10,6,25.4666666666667
2012,10,7,25.4633333333333
2012,10,8,24.835
2012,10,9,23.0908333333333
2012,10,10,22.08410041841
2012,10,11,21.6375
2012,10,12,21.22625
2012,10,13,20.5225
2012,10,14,20.2483333333333
2012,10,15,21.24
2012,10,16,21.62875
2012,10,17,21.1479166666667
2012,10,18,20.9845833333333
2012,10,19,21.753781512605
2012,10,20,22.0033333333333
2012,10,21,21.2854166666667
2012,10,22,20.6529661016949
2012,10,23,20.3533333333333
2012,10,24,20.5695833333333
2012,10,25,21.1404166666667
2012,10,26,21.3929166666667
